"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21"
"R1",0,0.337224965476947,0.840565254405567,0,1.79218302067019,0.459179543508828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R2",0.337224965476947,0,2.03298666513315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R3",0.840565254405567,2.03298666513315,0,0,0,1.1194433063501,0.370089961396168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R4",0,0,0,0,1.07836288227117,0,0,0,0,0,0,0,0,0,0,0,0,1.02952099414529,0,0,0
"R5",1.79218302067019,0,0,1.07836288227117,0,0.756529957025637,0.798862781743065,1.10863759152016,0,0,0.485107142665443,0,0,0,0,0,0,0,0,0,1.08956721363994
"R6",0.459179543508828,0,1.1194433063501,0,0.756529957025637,0,1.40521945707439,0.713473732689902,0,0,0,0,0,0,0,0,0,0,0,0,0
"R7",0,0,0.370089961396168,0,0.798862781743065,1.40521945707439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R8",0,0,0,0,1.10863759152016,0.713473732689902,0,0,1.19649766677209,0,0,0,0,0,0,0,0,0,0,0,0
"R9",0,0,0,0,0,0,0,1.19649766677209,0,0,0,0,0.995412718545709,0,0,0,0,0,0,0,0
"R10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R11",0,0,0,0,0.485107142665443,0,0,0,0,0,0,0,0,0,0,0,0.673916636555288,0,0,0,0
"R12",0,0,0,0,0,0,0,0,0,0,0,0,1.17941912479988,0,0.755893746775522,1.42042554316432,0.464403313601084,0,0,0,0
"R13",0,0,0,0,0,0,0,0,0.995412718545709,0,0,1.17941912479988,0,1.13548046203196,0,0,1.19332492339391,0,0,0,0
"R14",0,0,0,0,0,0,0,0,0,0,0,0,1.13548046203196,0,0.794418117837396,1.94587529905792,0,0,0,0,0
"R15",0,0,0,0,0,0,0,0,0,0,0,0.755893746775522,0,0.794418117837396,0,1.06861228436784,0.722709590835274,0,0,0,0
"R16",0,0,0,0,0,0,0,0,0,0,0,1.42042554316432,0,1.94587529905792,1.06861228436784,0,1.08792199194326,0,0,0,0
"R17",0,0,0,0,0,0,0,0,0,0,0.673916636555288,0.464403313601084,1.19332492339391,0,0.722709590835274,1.08792199194326,0,0,0,0,0
"R18",0,0,0,1.02952099414529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72289763610468,0
"R19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59953268912003,0
"R20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72289763610468,1.59953268912003,0,0.935891662798183
"R21",0,0,0,0,1.08956721363994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935891662798183,0
