"","Timepoints","Equilibrium","Perturbations"
"1",1,12,11
"2",2,12,10
"3",3,11,10
"4",4,11,10
"5",5,10,10
"6",6,11,10
"7",7,11,9
"8",8,10,9
"9",9,10,10
"10",10,9,10
"11",11,9,10
"12",12,9,11
"13",13,9,12
"14",14,9,12
"15",15,8,12
"16",16,8,12
"17",17,8,11
"18",18,9,10
"19",19,10,10
"20",20,11,11
"21",21,11,10
"22",22,11,11
"23",23,11,12
"24",24,11,12
"25",25,11,12
"26",26,11,12
"27",27,11,12
"28",28,12,12
"29",29,11,12
"30",30,11,12
"31",31,11,12
"32",32,11,13
"33",33,11,13
"34",34,11,12
"35",35,11,11
"36",36,11,12
"37",37,11,12
"38",38,11,13
"39",39,12,13
"40",40,13,12
"41",41,13,12
"42",42,13,13
"43",43,13,12
"44",44,14,12
"45",45,14,11
"46",46,15,12
"47",47,15,12
"48",48,15,12
"49",49,14,11
"50",50,13,11
"51",51,13,12
"52",52,13,12
"53",53,12,11
"54",54,13,11
"55",55,13,12
"56",56,14,12
"57",57,14,12
"58",58,14,12
"59",59,14,12
"60",60,14,12
"61",61,14,12
"62",62,14,12
"63",63,14,11
"64",64,14,10
"65",65,15,10
"66",66,16,11
"67",67,16,11
"68",68,16,11
"69",69,16,11
"70",70,16,12
"71",71,16,12
"72",72,16,12
"73",73,16,11
"74",74,16,10
"75",75,16,10
"76",76,16,10
"77",77,16,9
"78",78,16,9
"79",79,16,9
"80",80,16,9
"81",81,17,9
"82",82,17,9
"83",83,17,8
"84",84,16,8
"85",85,15,8
"86",86,16,9
"87",87,16,8
"88",88,16,8
"89",89,16,7
"90",90,16,7
"91",91,16,7
"92",92,16,8
"93",93,16,9
"94",94,16,9
"95",95,16,9
"96",96,16,9
"97",97,15,9
"98",98,15,9
"99",99,15,9
"100",100,15,9
"101",101,15,9
"102",102,15,9
"103",103,15,10
"104",104,15,10
"105",105,15,10
"106",106,16,10
"107",107,16,10
"108",108,16,10
"109",109,17,10
"110",110,16,10
"111",111,16,10
"112",112,16,10
"113",113,16,11
"114",114,16,12
"115",115,16,12
"116",116,16,12
"117",117,17,12
"118",118,16,12
"119",119,16,12
"120",120,16,12
"121",121,17,12
"122",122,17,12
"123",123,17,12
"124",124,17,12
"125",125,17,12
"126",126,17,12
"127",127,16,12
"128",128,16,13
"129",129,15,13
"130",130,15,14
"131",131,15,14
"132",132,15,14
"133",133,16,13
"134",134,16,12
"135",135,16,13
"136",136,16,13
"137",137,16,13
"138",138,16,12
"139",139,16,11
"140",140,16,11
"141",141,16,11
"142",142,16,11
"143",143,16,11
"144",144,16,11
"145",145,16,11
"146",146,16,11
"147",147,16,11
"148",148,16,11
"149",149,16,11
"150",150,16,11
"151",151,16,10
"152",152,16,10
"153",153,16,10
"154",154,16,10
"155",155,16,11
"156",156,16,11
"157",157,16,12
"158",158,16,12
"159",159,16,11
"160",160,16,11
"161",161,16,11
"162",162,16,11
"163",163,16,11
"164",164,16,11
"165",165,15,11
"166",166,15,11
"167",167,15,11
"168",168,15,11
"169",169,16,11
"170",170,16,11
"171",171,16,11
"172",172,16,12
"173",173,16,12
"174",174,16,12
"175",175,16,12
"176",176,15,11
"177",177,15,10
"178",178,15,9
"179",179,14,9
"180",180,14,9
"181",181,14,9
"182",182,14,9
"183",183,14,9
"184",184,14,10
"185",185,14,10
"186",186,14,11
"187",187,14,11
"188",188,14,11
"189",189,14,12
"190",190,14,12
"191",191,14,12
"192",192,14,12
"193",193,15,12
"194",194,15,12
"195",195,15,13
"196",196,16,13
"197",197,16,13
"198",198,16,13
"199",199,16,12
"200",200,16,12
"201",201,15,12
"202",202,15,11
"203",203,15,11
"204",204,15,11
"205",205,15,11
"206",206,14,11
"207",207,15,11
"208",208,15,12
"209",209,16,12
"210",210,16,13
"211",211,17,13
"212",212,17,13
"213",213,17,13
"214",214,17,13
"215",215,17,14
"216",216,17,14
"217",217,17,14
"218",218,17,14
"219",219,17,13
"220",220,17,13
"221",221,17,13
"222",222,17,13
"223",223,17,14
"224",224,17,13
"225",225,17,13
"226",226,17,13
"227",227,17,13
"228",228,17,13
"229",229,17,13
"230",230,17,14
"231",231,17,15
