"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21"
"R1",0,0.972304977181035,0,0.161771879816631,0.237263294545538,1.06474107757748,0.348616984797124,0,0,0,0.683245052753409,0,0,0,0,0.335182731119561,0,0,0,0,0
"R2",0.972304977181035,0,0.294484515006638,0.387978759023231,0,0,1.58969550212029,0,0,0.315685667913718,0,0,0,0,0,0,0,0,0,0.377932474153617,0
"R3",0,0.294484515006638,0,0.84936104403057,0.543534627882391,0.473071521848335,0,0,0,0,0.510749145137276,0,0,0,0,0,0.463989971958593,0.890514230406109,0,0.308761945854329,0
"R4",0.161771879816631,0.387978759023231,0.84936104403057,0,0,0.618078434834577,0.823451730742706,0,0,0,0,0,0,0,0,0,0,0,0,0.243294531987638,0
"R5",0.237263294545538,0,0.543534627882391,0,0,1.62277341036118,0,0,0,0,1.29369980480143,0,0,0,0,0,0,0,0,0,0
"R6",1.06474107757748,0,0.473071521848335,0.618078434834577,1.62277341036118,0,0,0.594366512534439,0,0,0,0,0,0,0,0,0,0,0,0,0
"R7",0.348616984797124,1.58969550212029,0,0.823451730742706,0,0,0,0.62645370655658,0,0,0,0,0,0,0,0,0.745824764721019,0.719833624746081,0,0,0
"R8",0,0,0,0,0,0.594366512534439,0.62645370655658,0,1.43553528879716,1.12926945076418,0,0,0.296761571545258,0,0.292093336845864,0,0,0,0,0,0
"R9",0,0,0,0,0,0,0,1.43553528879716,0,0.427880157411389,1.21287805874147,0,0,0,0,0,0.66061826750473,0,0,0,0
"R10",0,0.315685667913718,0,0,0,0,0,1.12926945076418,0.427880157411389,0,2.03963972104506,0,0,0,0,0,0,0,0,0,0
"R11",0.683245052753409,0,0.510749145137276,0,1.29369980480143,0,0,0,1.21287805874147,2.03963972104506,0,0,0.315942388986576,0,0,0.209225953627632,0,0.374523427137104,0,0,0
"R12",0,0,0,0,0,0,0,0,0,0,0,0,0.646211558524926,0,0,1.71963298843898,0.138291881568808,0,0,0,0
"R13",0,0,0,0,0,0,0,0.296761571545258,0,0,0.315942388986576,0.646211558524926,0,1.1648709202068,0.576981791981937,0,0.861144961659732,0,0,0,0
"R14",0,0,0,0,0,0,0,0,0,0,0,0,1.1648709202068,0,1.30583115758337,1.09837070746735,0.349927682547224,0,0,0,0
"R15",0,0,0,0,0,0,0,0.292093336845864,0,0,0,0,0.576981791981937,1.30583115758337,0,0.928179572437009,0.87768076500119,0,0,0,0
"R16",0.335182731119561,0,0,0,0,0,0,0,0,0,0.209225953627632,1.71963298843898,0,1.09837070746735,0.928179572437009,0,1.0355605176606,0,0,0,0
"R17",0,0,0.463989971958593,0,0,0,0.745824764721019,0,0.66061826750473,0,0,0.138291881568808,0.861144961659732,0.349927682547224,0.87768076500119,1.0355605176606,0,0,0,0,0.521685770565145
"R18",0,0,0.890514230406109,0,0,0,0.719833624746081,0,0,0,0.374523427137104,0,0,0,0,0,0,0,1.33800557530173,0,0.569927355207558
"R19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33800557530173,0,0.961838502434347,0.594390149649631
"R20",0,0.377932474153617,0.308761945854329,0.243294531987638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961838502434347,0,1.20447125897023
"R21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521685770565145,0.569927355207558,0.594390149649631,1.20447125897023,0
