"","Timepoints","Equilibrium","Perturbations"
"1",1,12,11
"2",2,11,10
"3",3,10,10
"4",4,10,10
"5",5,9,9
"6",6,10,8
"7",7,10,7
"8",8,9,6
"9",9,8,7
"10",10,7,6
"11",11,7,6
"12",12,7,7
"13",13,7,8
"14",14,7,8
"15",15,7,8
"16",16,7,8
"17",17,7,7
"18",18,7,7
"19",19,7,6
"20",20,7,7
"21",21,7,6
"22",22,7,6
"23",23,7,7
"24",24,7,6
"25",25,6,6
"26",26,6,6
"27",27,7,5
"28",28,6,5
"29",29,6,5
"30",30,6,5
"31",31,5,4
"32",32,5,5
"33",33,5,5
"34",34,5,4
"35",35,6,4
"36",36,6,5
"37",37,6,5
"38",38,6,6
"39",39,7,6
"40",40,8,6
"41",41,8,6
"42",42,7,6
"43",43,7,5
"44",44,7,5
"45",45,7,5
"46",46,7,5
"47",47,7,5
"48",48,7,5
"49",49,8,5
"50",50,7,5
"51",51,7,6
"52",52,7,6
"53",53,6,6
"54",54,6,5
"55",55,6,6
"56",56,5,6
"57",57,5,5
"58",58,4,5
"59",59,4,5
"60",60,4,5
"61",61,4,4
"62",62,4,4
"63",63,4,3
"64",64,3,2
"65",65,3,2
"66",66,3,3
"67",67,3,4
"68",68,3,4
"69",69,2,4
"70",70,2,5
"71",71,2,5
"72",72,2,5
"73",73,2,5
"74",74,2,4
"75",75,2,3
"76",76,2,3
"77",77,2,2
"78",78,2,2
"79",79,2,2
"80",80,2,1
"81",81,2,1
"82",82,2,1
"83",83,2,1
"84",84,2,1
"85",85,2,2
"86",86,2,3
"87",87,1,3
"88",88,1,3
"89",89,1,4
"90",90,1,4
"91",91,1,4
"92",92,1,3
"93",93,1,3
"94",94,1,3
"95",95,0,3
"96",96,0,3
"97",97,0,3
"98",98,0,4
"99",99,0,4
"100",100,0,4
"101",101,0,4
"102",102,0,5
"103",103,0,5
"104",104,0,5
"105",105,0,4
"106",106,0,4
"107",107,0,4
"108",108,0,4
"109",109,0,3
"110",110,0,3
"111",111,0,3
"112",112,0,3
"113",113,0,3
"114",114,0,4
"115",115,0,4
"116",116,0,4
"117",117,0,4
"118",118,1,4
"119",119,1,4
"120",120,1,4
"121",121,0,4
"122",122,0,4
"123",123,0,4
"124",124,0,4
"125",125,0,4
"126",126,0,5
"127",127,0,5
"128",128,0,6
"129",129,0,6
"130",130,0,6
"131",131,0,6
"132",132,0,6
"133",133,0,6
"134",134,0,5
"135",135,0,6
"136",136,1,6
"137",137,1,6
"138",138,1,5
"139",139,1,5
"140",140,1,5
"141",141,1,5
"142",142,1,5
"143",143,1,5
"144",144,1,5
"145",145,1,5
"146",146,1,4
"147",147,1,3
"148",148,1,3
"149",149,2,3
"150",150,2,3
"151",151,1,3
"152",152,1,3
"153",153,1,3
"154",154,1,3
"155",155,1,3
"156",156,1,3
"157",157,1,4
"158",158,1,4
"159",159,1,4
"160",160,1,4
"161",161,1,4
"162",162,1,4
"163",163,1,4
"164",164,1,4
"165",165,1,4
"166",166,1,4
"167",167,1,4
"168",168,1,4
"169",169,1,4
"170",170,1,3
"171",171,1,2
"172",172,1,2
"173",173,1,2
"174",174,1,2
"175",175,1,2
"176",176,1,1
"177",177,1,2
"178",178,1,2
"179",179,2,2
"180",180,2,2
"181",181,2,2
"182",182,2,2
"183",183,2,2
