"","Item","Current sui_Value_0","Current sui_Value_1","Former sui_Value_0","Former sui_Value_1"
"1","R1",145,51,61,185
"2","R2",109,87,54,192
"3","R3",129,67,36,210
"4","R4",114,82,32,214
"5","R5",134,62,51,195
"6","R6",131,65,55,191
"7","R7",138,58,60,186
"8","R8",95,101,24,222
"9","R9",75,121,16,230
"10","R10",50,146,6,240
"11","R11",110,86,15,231
"12","R12",99,97,42,204
"13","R13",115,81,38,208
"14","R14",117,79,45,201
"15","R15",84,112,21,225
"16","R16",108,88,46,200
"17","R17",89,107,28,218
"18","R18",77,119,8,238
"19","R19",73,123,20,226
"20","R20",62,134,16,230
"21","R21",68,128,19,227
