"","variable","count","variable.1","count.1","variable.2","count.2","variable.3","count.3","variable.4","count.4","variable.5","count.5","variable.6","count.6","variable.7","count.7","variable.8","count.8","variable.9","count.9","variable.10","count.10","variable.11","count.11","variable.12","count.12","variable.13","count.13","variable.14","count.14","variable.15","count.15","variable.16","count.16","variable.17","count.17","variable.18","count.18","variable.19","count.19","variable.20","count.20"
"1","R1",222,"R1",3076,"R1",3632,"R1",6364,"R1",1190,"R1",2998,"R1",4040,"R1",3682,"R1",7003,"R1",10569,"R1",9290,"R1",10443,"R1",8441,"R1",9066,"R1",10611,"R1",11107,"R1",10123,"R1",10117,"R1",11037,"R1",9817,"R1",5837
"2","R2",9550,"R2",333,"R2",3776,"R2",10831,"R2",7123,"R2",8141,"R2",7399,"R2",8632,"R2",11987,"R2",14310,"R2",13423,"R2",13933,"R2",13138,"R2",12762,"R2",14100,"R2",14641,"R2",13675,"R2",14022,"R2",14377,"R2",13429,"R2",10304
"3","R3",14014,"R3",10861,"R3",1075,"R3",15202,"R3",12727,"R3",12615,"R3",12791,"R3",13327,"R3",15753,"R3",16770,"R3",16379,"R3",16843,"R3",16034,"R3",16002,"R3",16707,"R3",17232,"R3",16577,"R3",16918,"R3",17026,"R3",16208,"R3",14028
"4","R4",13946,"R4",13049,"R4",13855,"R4",794,"R4",11886,"R4",13839,"R4",14196,"R4",13068,"R4",15074,"R4",15922,"R4",15807,"R4",15797,"R4",15381,"R4",15488,"R4",16191,"R4",16069,"R4",15814,"R4",14078,"R4",16171,"R4",15519,"R4",14487
"5","R5",7341,"R5",5326,"R5",6337,"R5",8087,"R5",272,"R5",6257,"R5",6763,"R5",4470,"R5",9486,"R5",13883,"R5",12752,"R5",13789,"R5",11919,"R5",12020,"R5",13793,"R5",14357,"R5",13412,"R5",12913,"R5",14377,"R5",13238,"R5",8208
"6","R6",5369,"R6",4489,"R6",3326,"R6",8034,"R6",2792,"R6",282,"R6",4651,"R6",3496,"R6",8109,"R6",11308,"R6",10798,"R6",11846,"R6",10334,"R6",10312,"R6",11284,"R6",12337,"R6",11301,"R6",10953,"R6",11968,"R6",10776,"R6",5800
"7","R7",6473,"R7",3533,"R7",4583,"R7",8434,"R7",3988,"R7",3886,"R7",245,"R7",5434,"R7",8549,"R7",11818,"R7",11151,"R7",11700,"R7",10448,"R7",10501,"R7",11473,"R7",12328,"R7",11272,"R7",11171,"R7",12019,"R7",11044,"R7",7267
"8","R8",17383,"R8",17138,"R8",17060,"R8",17755,"R8",16462,"R8",17119,"R8",17665,"R8",3546,"R8",13866,"R8",18823,"R8",18664,"R8",18886,"R8",17892,"R8",18083,"R8",18794,"R8",18866,"R8",18888,"R8",18713,"R8",19032,"R8",18714,"R8",17990
"9","R9",19114,"R9",19186,"R9",19144,"R9",19115,"R9",19059,"R9",19101,"R9",19116,"R9",17200,"R9",5265,"R9",18670,"R9",19224,"R9",19104,"R9",18490,"R9",18949,"R9",19199,"R9",19270,"R9",18989,"R9",19283,"R9",19329,"R9",19283,"R9",19143
"10","R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19921,"R10",19756,"R10",15412,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19959,"R10",19735
