"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21"
"R1",0,0.768349605539396,0.164799821636382,0,1.56296518042029,0.928931141173176,0.383153455488504,0,0,0,0.840942675483991,0,0.292157257578671,0,0,0,0,0,0,0,0
"R2",0.768349605539396,0,1.69057387842916,0.291114661880095,0.59008651346638,0,1.0660117314805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R3",0.164799821636382,1.69057387842916,0,0,0,1.091198831472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R4",0,0.291114661880095,0,0,0.909625696841457,0,0,0,0,0,0,0,0,0,0,0,0,0.653676637856088,0,0,0
"R5",1.56296518042029,0.59008651346638,0,0.909625696841457,0,0.936093462657057,0.62268184680388,1.01229195588743,0,0,1.0250763624791,0,0,0,0,0,0,0,0,0,0.370977336458069
"R6",0.928931141173176,0,1.091198831472,0,0.936093462657057,0,1.10993584855967,1.27700222108414,0,0,0,0,0,0,0,0,0,0,0,0,0.461095736335006
"R7",0.383153455488504,1.0660117314805,0,0,0.62268184680388,1.10993584855967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R8",0,0,0,0,1.01229195588743,1.27700222108414,0,0,1.47455889761931,0,0.693518089083198,0,0,0.395105848414693,0,0,0,0,0,0,0
"R9",0,0,0,0,0,0,0,1.47455889761931,0,1.39524653018556,0,0,1.02838930806275,0,0,0,0,0,0,0,0
"R10",0,0,0,0,0,0,0,0,1.39524653018556,0,0,0,0,0,0,0,0,0,0,0,1.01237444927296
"R11",0.840942675483991,0,0,0,1.0250763624791,0,0,0.693518089083198,0,0,0,0,0,0,0,0,0,0,0,0,0
"R12",0,0,0,0,0,0,0,0,0,0,0,0,0.924795251197406,0.379189206073185,0.799576981868664,0.95799044821631,0.826873650929504,0,0,0,0
"R13",0.292157257578671,0,0,0,0,0,0,0,1.02838930806275,0,0,0.924795251197406,0,1.4873980441836,0,0.707944748919013,1.07710490666976,0,0,0,0
"R14",0,0,0,0,0,0,0,0.395105848414693,0,0,0,0.379189206073185,1.4873980441836,0,1.15130320908034,2.01471849532789,0.351463766892455,0,0,0,0
"R15",0,0,0,0,0,0,0,0,0,0,0,0.799576981868664,0,1.15130320908034,0,1.24955969743397,0.868044202286244,0,0,0,0.481484481854454
"R16",0,0,0,0,0,0,0,0,0,0,0,0.95799044821631,0.707944748919013,2.01471849532789,1.24955969743397,0,0.645493087144654,0,0,0,0
"R17",0,0,0,0,0,0,0,0,0,0,0,0.826873650929504,1.07710490666976,0.351463766892455,0.868044202286244,0.645493087144654,0,0,0,0,0
"R18",0,0,0,0.653676637856088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04018451641314,0.861690261167041
"R19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8793263433532,0
"R20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04018451641314,1.8793263433532,0,0.418774119844947
"R21",0,0,0,0,0.370977336458069,0.461095736335006,0,0,0,1.01237444927296,0,0,0,0,0.481484481854454,0,0,0.861690261167041,0,0.418774119844947,0
