"","Timepoints","Equilibrium","Perturbations"
"1",1,12,11
"2",2,12,11
"3",3,12,11
"4",4,12,11
"5",5,11,11
"6",6,12,10
"7",7,12,9
"8",8,11,9
"9",9,11,10
"10",10,10,10
"11",11,10,10
"12",12,10,11
"13",13,11,12
"14",14,11,12
"15",15,11,13
"16",16,11,13
"17",17,12,12
"18",18,12,11
"19",19,12,10
"20",20,13,11
"21",21,13,10
"22",22,13,11
"23",23,14,12
"24",24,14,11
"25",25,14,10
"26",26,14,10
"27",27,14,9
"28",28,14,9
"29",29,14,9
"30",30,14,9
"31",31,14,8
"32",32,14,9
"33",33,14,8
"34",34,13,7
"35",35,13,7
"36",36,13,8
"37",37,13,8
"38",38,13,9
"39",39,14,9
"40",40,15,10
"41",41,15,10
"42",42,15,10
"43",43,15,10
"44",44,16,11
"45",45,16,12
"46",46,17,13
"47",47,17,13
"48",48,17,12
"49",49,16,12
"50",50,15,12
"51",51,15,13
"52",52,14,13
"53",53,13,12
"54",54,14,12
"55",55,14,12
"56",56,15,12
"57",57,15,12
"58",58,15,12
"59",59,15,12
"60",60,15,12
"61",61,16,12
"62",62,16,12
"63",63,16,12
"64",64,15,11
"65",65,16,11
"66",66,17,10
"67",67,17,10
"68",68,17,11
"69",69,17,10
"70",70,17,9
"71",71,17,9
"72",72,17,9
"73",73,17,8
"74",74,17,7
"75",75,17,7
"76",76,17,7
"77",77,17,7
"78",78,17,7
"79",79,17,8
"80",80,17,8
"81",81,18,8
"82",82,18,9
"83",83,19,10
"84",84,19,10
"85",85,18,10
"86",86,19,9
"87",87,19,9
"88",88,19,9
"89",89,19,10
"90",90,19,10
"91",91,20,10
"92",92,20,9
"93",93,20,9
"94",94,20,9
"95",95,20,9
"96",96,20,9
"97",97,20,9
"98",98,20,9
"99",99,20,9
"100",100,20,9
"101",101,20,9
"102",102,20,9
"103",103,20,9
"104",104,20,9
"105",105,20,9
"106",106,20,9
"107",107,19,9
"108",108,19,9
"109",109,19,9
"110",110,19,8
"111",111,19,8
"112",112,19,8
"113",113,19,9
"114",114,19,10
"115",115,19,10
"116",116,19,10
"117",117,20,10
"118",118,19,10
"119",119,19,10
"120",120,19,10
"121",121,20,10
"122",122,20,10
"123",123,20,10
"124",124,20,10
"125",125,20,10
"126",126,20,10
"127",127,20,10
"128",128,20,11
"129",129,20,11
"130",130,20,12
"131",131,20,12
"132",132,20,12
"133",133,20,12
"134",134,20,11
"135",135,20,12
"136",136,20,12
"137",137,20,12
"138",138,20,11
"139",139,20,11
"140",140,21,11
"141",141,21,11
"142",142,21,11
"143",143,20,11
"144",144,20,11
"145",145,20,11
"146",146,20,10
"147",147,20,10
"148",148,20,10
"149",149,20,10
"150",150,20,10
"151",151,20,11
"152",152,20,11
"153",153,20,11
"154",154,20,11
"155",155,20,11
"156",156,20,11
"157",157,20,12
"158",158,20,12
"159",159,20,11
"160",160,20,11
"161",161,20,11
"162",162,20,11
"163",163,20,11
"164",164,20,11
"165",165,20,11
"166",166,20,11
"167",167,20,11
"168",168,20,11
"169",169,20,12
"170",170,20,11
"171",171,20,11
"172",172,20,11
"173",173,20,11
"174",174,20,11
"175",175,20,12
"176",176,20,11
"177",177,20,10
"178",178,20,9
"179",179,20,9
"180",180,20,9
"181",181,20,9
"182",182,20,9
"183",183,20,9
"184",184,20,9
"185",185,20,9
"186",186,20,8
"187",187,20,8
"188",188,20,8
"189",189,20,8
"190",190,20,8
"191",191,20,7
"192",192,20,7
"193",193,20,7
"194",194,20,7
"195",195,20,7
"196",196,20,7
"197",197,20,7
"198",198,20,6
"199",199,20,6
"200",200,20,6
"201",201,19,6
"202",202,19,6
"203",203,19,6
"204",204,19,6
"205",205,19,6
"206",206,19,7
"207",207,18,8
"208",208,18,9
"209",209,18,8
"210",210,18,9
"211",211,17,9
"212",212,17,9
"213",213,18,9
"214",214,18,9
"215",215,18,9
"216",216,18,9
"217",217,18,9
"218",218,18,9
"219",219,18,10
"220",220,18,11
"221",221,18,11
"222",222,18,11
"223",223,18,11
"224",224,18,10
"225",225,18,10
"226",226,18,10
"227",227,18,10
"228",228,18,10
"229",229,18,11
"230",230,18,10
"231",231,18,10
"232",232,18,10
"233",233,18,10
"234",234,18,10
"235",235,18,10
"236",236,19,10
"237",237,19,10
"238",238,20,10
"239",239,20,10
"240",240,19,10
"241",241,19,9
"242",242,19,9
"243",243,19,9
"244",244,19,9
"245",245,19,9
"246",246,19,9
"247",247,19,9
"248",248,19,9
"249",249,19,9
"250",250,19,8
"251",251,19,8
"252",252,19,8
"253",253,19,8
"254",254,19,7
"255",255,19,6
"256",256,19,6
"257",257,19,6
"258",258,19,6
"259",259,19,6
"260",260,19,6
"261",261,19,6
"262",262,19,6
"263",263,19,5
"264",264,19,5
"265",265,19,5
"266",266,19,5
"267",267,19,5
"268",268,19,5
"269",269,19,5
"270",270,19,5
"271",271,20,5
"272",272,20,5
"273",273,20,4
"274",274,20,5
"275",275,19,6
"276",276,18,6
"277",277,18,6
"278",278,18,6
"279",279,18,7
"280",280,18,7
"281",281,18,7
"282",282,18,8
"283",283,18,8
"284",284,18,8
"285",285,18,7
"286",286,18,7
"287",287,18,7
"288",288,18,8
"289",289,18,8
"290",290,18,8
"291",291,18,8
"292",292,18,8
"293",293,18,8
"294",294,18,9
"295",295,18,8
"296",296,18,8
"297",297,17,8
"298",298,17,8
"299",299,17,8
"300",300,17,9
"301",301,17,9
"302",302,17,10
"303",303,17,10
"304",304,16,10
"305",305,16,9
"306",306,15,9
"307",307,15,9
"308",308,15,9
"309",309,14,9
"310",310,14,9
"311",311,14,9
"312",312,13,9
"313",313,14,9
"314",314,14,10
"315",315,14,11
"316",316,14,11
"317",317,14,11
"318",318,14,11
"319",319,14,11
"320",320,14,11
"321",321,14,10
"322",322,14,10
"323",323,14,11
"324",324,15,10
"325",325,15,10
"326",326,15,10
"327",327,15,10
"328",328,15,10
"329",329,15,10
"330",330,15,10
"331",331,14,10
"332",332,14,11
"333",333,14,10
"334",334,14,10
"335",335,14,10
"336",336,14,10
"337",337,14,10
"338",338,14,10
"339",339,14,10
"340",340,14,10
"341",341,14,10
"342",342,14,10
"343",343,14,11
"344",344,13,11
"345",345,13,11
"346",346,13,11
"347",347,13,11
"348",348,13,11
"349",349,13,11
"350",350,13,11
"351",351,13,11
"352",352,13,11
"353",353,13,11
"354",354,12,11
"355",355,12,11
"356",356,12,12
"357",357,12,12
"358",358,12,12
"359",359,13,13
"360",360,13,13
"361",361,13,13
"362",362,14,14
"363",363,14,13
"364",364,14,14
"365",365,14,14
"366",366,14,14
"367",367,14,14
"368",368,14,14
"369",369,14,14
"370",370,14,14
"371",371,14,15
"372",372,14,15
"373",373,14,15
"374",374,14,15
"375",375,14,14
"376",376,14,14
"377",377,14,14
"378",378,14,14
"379",379,14,15
"380",380,14,15
"381",381,14,16
"382",382,14,17
"383",383,13,17
"384",384,13,17
"385",385,13,17
"386",386,13,17
"387",387,13,17
"388",388,13,16
"389",389,13,16
"390",390,14,16
"391",391,14,16
"392",392,14,16
"393",393,14,16
"394",394,14,15
"395",395,14,15
"396",396,14,15
"397",397,14,15
"398",398,14,15
"399",399,14,15
"400",400,14,15
"401",401,14,15
"402",402,14,15
"403",403,14,15
"404",404,14,15
"405",405,14,15
"406",406,14,15
"407",407,14,15
"408",408,14,15
"409",409,14,14
"410",410,14,14
"411",411,14,14
"412",412,14,14
"413",413,14,14
"414",414,14,14
"415",415,14,14
"416",416,14,14
"417",417,15,14
"418",418,15,13
"419",419,15,13
"420",420,15,13
"421",421,15,13
"422",422,16,13
"423",423,17,13
"424",424,16,14
"425",425,17,14
"426",426,17,14
"427",427,17,14
"428",428,17,15
"429",429,17,15
"430",430,17,15
"431",431,17,15
"432",432,18,15
"433",433,17,15
"434",434,16,15
"435",435,16,15
"436",436,16,15
"437",437,16,15
"438",438,16,15
"439",439,16,14
"440",440,16,15
"441",441,16,15
"442",442,16,15
"443",443,15,15
"444",444,15,14
"445",445,15,14
"446",446,15,14
"447",447,15,14
"448",448,15,14
"449",449,15,14
"450",450,15,14
"451",451,15,14
"452",452,15,14
"453",453,15,14
"454",454,15,14
"455",455,15,14
"456",456,15,14
"457",457,15,14
"458",458,14,14
"459",459,14,14
"460",460,15,14
"461",461,14,13
"462",462,14,13
"463",463,15,13
"464",464,15,13
"465",465,15,13
"466",466,15,13
"467",467,15,13
"468",468,15,13
"469",469,15,13
"470",470,15,14
"471",471,15,14
"472",472,15,15
"473",473,15,15
"474",474,15,15
"475",475,15,14
"476",476,15,14
"477",477,15,14
"478",478,15,14
"479",479,15,14
"480",480,15,14
"481",481,15,14
"482",482,15,14
"483",483,15,14
"484",484,14,14
"485",485,14,14
"486",486,14,13
"487",487,14,13
"488",488,14,13
"489",489,14,13
"490",490,14,13
"491",491,14,13
"492",492,14,13
"493",493,14,13
"494",494,14,13
"495",495,14,13
"496",496,14,13
"497",497,14,13
"498",498,14,13
"499",499,13,12
"500",500,13,12
"501",501,13,12
"502",502,13,12
"503",503,13,12
"504",504,13,12
"505",505,13,12
"506",506,13,12
"507",507,13,12
"508",508,14,13
"509",509,14,13
"510",510,14,13
"511",511,14,13
"512",512,14,13
"513",513,14,13
"514",514,14,14
"515",515,14,14
"516",516,14,14
"517",517,14,14
"518",518,15,14
"519",519,15,15
"520",520,14,16
"521",521,14,15
"522",522,14,15
"523",523,14,15
"524",524,14,15
"525",525,14,15
"526",526,14,15
"527",527,14,16
"528",528,13,17
"529",529,13,17
"530",530,12,17
"531",531,13,17
"532",532,13,17
"533",533,13,17
"534",534,13,17
"535",535,13,17
"536",536,13,17
"537",537,13,17
"538",538,14,17
"539",539,14,17
"540",540,14,17
"541",541,14,17
"542",542,14,17
"543",543,14,16
"544",544,14,16
"545",545,14,16
"546",546,14,16
"547",547,14,16
"548",548,14,15
"549",549,14,15
"550",550,14,15
"551",551,15,15
"552",552,15,15
"553",553,15,15
"554",554,15,15
"555",555,15,15
"556",556,15,15
"557",557,15,15
"558",558,15,15
"559",559,15,15
"560",560,16,15
"561",561,16,16
"562",562,16,16
"563",563,16,16
"564",564,16,15
"565",565,16,15
"566",566,16,15
"567",567,16,15
"568",568,16,15
"569",569,16,15
"570",570,16,14
"571",571,16,14
"572",572,17,13
"573",573,17,13
"574",574,16,13
"575",575,16,13
"576",576,16,13
"577",577,16,13
"578",578,16,13
"579",579,16,13
"580",580,16,14
"581",581,17,14
"582",582,16,14
"583",583,16,14
"584",584,15,14
"585",585,15,15
"586",586,15,15
"587",587,15,15
"588",588,15,14
"589",589,15,14
"590",590,15,14
"591",591,15,14
"592",592,15,14
"593",593,15,14
"594",594,15,14
"595",595,15,14
"596",596,15,14
"597",597,15,15
"598",598,15,15
"599",599,15,15
"600",600,16,15
"601",601,16,15
"602",602,16,15
"603",603,16,16
"604",604,17,16
"605",605,17,16
"606",606,17,16
"607",607,17,16
"608",608,17,16
"609",609,16,16
"610",610,17,16
"611",611,17,16
"612",612,18,16
"613",613,18,16
