"","Timepoints","Equilibrium"
"1",1,11
"2",2,11
"3",3,11
"4",4,11
"5",5,10
"6",6,11
"7",7,11
"8",8,10
"9",9,10
"10",10,9
"11",11,9
"12",12,9
"13",13,10
"14",14,10
"15",15,10
"16",16,10
"17",17,11
"18",18,11
"19",19,11
"20",20,11
"21",21,11
"22",22,11
"23",23,12
"24",24,12
"25",25,12
"26",26,12
"27",27,12
"28",28,12
"29",29,13
"30",30,13
"31",31,13
"32",32,13
"33",33,13
"34",34,12
"35",35,11
"36",36,11
"37",37,11
"38",38,11
"39",39,12
"40",40,13
"41",41,13
"42",42,13
"43",43,13
"44",44,14
"45",45,14
"46",46,15
"47",47,15
"48",48,15
"49",49,14
"50",50,15
"51",51,15
"52",52,15
"53",53,14
"54",54,15
"55",55,15
"56",56,16
"57",57,16
"58",58,16
"59",59,16
"60",60,16
"61",61,15
"62",62,15
"63",63,15
"64",64,14
"65",65,15
"66",66,16
"67",67,16
"68",68,16
"69",69,16
"70",70,16
"71",71,16
"72",72,16
"73",73,16
"74",74,16
"75",75,16
"76",76,16
"77",77,16
"78",78,16
"79",79,16
"80",80,16
"81",81,17
"82",82,17
"83",83,17
"84",84,16
"85",85,15
"86",86,16
"87",87,16
"88",88,16
"89",89,16
"90",90,16
"91",91,16
"92",92,16
"93",93,16
"94",94,16
"95",95,16
"96",96,16
"97",97,16
"98",98,16
"99",99,16
"100",100,16
"101",101,16
"102",102,16
"103",103,16
"104",104,16
"105",105,16
"106",106,17
"107",107,17
"108",108,17
"109",109,17
"110",110,17
"111",111,17
"112",112,17
"113",113,16
"114",114,16
"115",115,16
"116",116,16
"117",117,17
"118",118,16
"119",119,16
"120",120,16
"121",121,17
"122",122,17
"123",123,17
"124",124,17
"125",125,17
"126",126,17
"127",127,16
"128",128,15
"129",129,15
"130",130,15
"131",131,15
"132",132,15
"133",133,14
"134",134,14
"135",135,14
"136",136,14
"137",137,14
"138",138,14
"139",139,14
"140",140,14
"141",141,14
"142",142,14
"143",143,14
"144",144,14
"145",145,14
"146",146,14
"147",147,14
"148",148,14
"149",149,14
"150",150,15
"151",151,15
"152",152,15
"153",153,15
"154",154,16
"155",155,16
"156",156,16
"157",157,16
"158",158,16
"159",159,16
"160",160,16
"161",161,16
"162",162,16
"163",163,16
"164",164,16
"165",165,15
"166",166,15
"167",167,15
"168",168,15
"169",169,16
"170",170,16
"171",171,16
"172",172,16
"173",173,16
"174",174,16
"175",175,16
"176",176,16
"177",177,16
"178",178,16
"179",179,16
"180",180,16
"181",181,16
"182",182,17
"183",183,17
"184",184,17
"185",185,17
"186",186,17
"187",187,17
"188",188,17
"189",189,17
"190",190,17
"191",191,17
"192",192,17
"193",193,17
"194",194,17
"195",195,17
"196",196,17
"197",197,17
"198",198,17
"199",199,17
"200",200,17
"201",201,16
"202",202,16
"203",203,16
"204",204,16
"205",205,16
"206",206,16
"207",207,15
"208",208,15
"209",209,15
"210",210,15
"211",211,14
"212",212,14
"213",213,15
"214",214,15
"215",215,15
"216",216,15
"217",217,15
"218",218,15
"219",219,15
"220",220,15
"221",221,15
"222",222,15
"223",223,15
"224",224,15
"225",225,15
"226",226,15
"227",227,15
"228",228,15
"229",229,15
"230",230,15
"231",231,15
"232",232,15
"233",233,14
"234",234,14
"235",235,14
"236",236,15
"237",237,15
"238",238,16
"239",239,16
"240",240,17
"241",241,17
"242",242,17
"243",243,17
"244",244,17
"245",245,17
"246",246,17
"247",247,17
"248",248,17
"249",249,17
"250",250,17
"251",251,17
"252",252,17
"253",253,17
"254",254,17
"255",255,17
"256",256,17
"257",257,17
"258",258,16
"259",259,16
"260",260,16
"261",261,16
"262",262,16
"263",263,16
"264",264,17
"265",265,17
"266",266,17
"267",267,18
"268",268,18
"269",269,18
"270",270,18
"271",271,19
"272",272,19
"273",273,19
"274",274,19
"275",275,20
"276",276,19
"277",277,19
"278",278,19
"279",279,19
"280",280,19
"281",281,19
"282",282,19
"283",283,19
"284",284,19
"285",285,19
"286",286,19
"287",287,19
"288",288,19
"289",289,19
"290",290,19
"291",291,19
"292",292,19
"293",293,19
"294",294,19
"295",295,19
"296",296,19
"297",297,19
"298",298,19
"299",299,19
"300",300,19
"301",301,19
"302",302,19
"303",303,19
"304",304,18
"305",305,18
"306",306,18
"307",307,18
"308",308,18
"309",309,18
"310",310,17
"311",311,17
"312",312,17
"313",313,18
"314",314,18
"315",315,18
"316",316,18
"317",317,18
"318",318,18
"319",319,18
"320",320,18
"321",321,18
"322",322,18
"323",323,18
"324",324,18
"325",325,18
"326",326,18
"327",327,18
"328",328,18
"329",329,18
"330",330,18
"331",331,18
"332",332,18
"333",333,18
"334",334,18
"335",335,18
"336",336,18
"337",337,18
"338",338,18
"339",339,18
"340",340,18
"341",341,17
"342",342,17
"343",343,17
"344",344,17
"345",345,17
"346",346,17
"347",347,17
"348",348,17
"349",349,17
"350",350,17
"351",351,17
"352",352,17
"353",353,17
"354",354,16
"355",355,15
"356",356,15
"357",357,15
"358",358,15
"359",359,15
"360",360,15
"361",361,15
"362",362,16
"363",363,16
"364",364,16
"365",365,16
"366",366,16
"367",367,16
"368",368,16
