"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21"
"1",1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1
"2",1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"4",0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0
"7",1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0
"8",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1
"9",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
"10",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"11",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"12",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"13",1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"18",0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"22",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"24",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25",0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1
"26",0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0
"27",0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"29",0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
"30",0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
"31",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"32",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
"33",1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
"36",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"38",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"39",1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1
"40",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"41",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43",0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1
"44",1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"45",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"46",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"47",0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1
"48",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"49",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1
"52",0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0
"53",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"55",0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1
"56",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
"57",0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
"58",0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"61",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"62",0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0
"63",0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
"66",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"67",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"68",0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"72",1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1
"73",0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"74",0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
"75",1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
"76",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"77",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"78",0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"79",0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
"80",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"81",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"84",0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"85",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86",0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0
"89",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
"90",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"91",0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1
"92",0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"93",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"94",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"96",0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"97",1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"98",0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"99",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"102",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
"103",0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"106",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"109",0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"111",0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1
"112",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
"113",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"114",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"115",1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0
"116",1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"117",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"118",0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0
"119",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"120",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
"121",1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"123",1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
"124",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"125",0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
"126",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
