"","variable","count","variable.1","count.1","variable.2","count.2","variable.3","count.3","variable.4","count.4","variable.5","count.5","variable.6","count.6","variable.7","count.7","variable.8","count.8","variable.9","count.9","variable.10","count.10","variable.11","count.11","variable.12","count.12","variable.13","count.13","variable.14","count.14","variable.15","count.15","variable.16","count.16","variable.17","count.17","variable.18","count.18","variable.19","count.19","variable.20","count.20"
"V1","R1",7986,"R1",2883,"R1",4569,"R1",3152,"R1",3899,"R1",5078,"R1",6354,"R1",5150,"R1",2309,"R1",2076,"R1",5481,"R1",4413,"R1",3461,"R1",3433,"R1",3254,"R1",2249,"R1",4031,"R1",2276,"R1",2406,"R1",1987,"R1",2011
"V2","R2",7612,"R2",14779,"R2",8234,"R2",6707,"R2",6566,"R2",6900,"R2",12315,"R2",8380,"R2",5173,"R2",4889,"R2",8470,"R2",7075,"R2",6118,"R2",5804,"R2",5768,"R2",4877,"R2",6613,"R2",4613,"R2",4743,"R2",4178,"R2",3963
"V3","R3",4612,"R3",4653,"R3",15047,"R3",6246,"R3",5730,"R3",5247,"R3",8452,"R3",6341,"R3",3850,"R3",3259,"R3",6888,"R3",5511,"R3",4659,"R3",4579,"R3",4289,"R3",3888,"R3",5469,"R3",3736,"R3",3919,"R3",3594,"R3",3414
"V4","R4",6630,"R4",7145,"R4",10457,"R4",14879,"R4",7050,"R4",6921,"R4",10822,"R4",8060,"R4",5116,"R4",4365,"R4",8053,"R4",6510,"R4",5865,"R4",5699,"R4",5508,"R4",4523,"R4",6329,"R4",4921,"R4",5118,"R4",4869,"R4",4264
"V5","R5",4363,"R5",3197,"R5",6138,"R5",3503,"R5",10454,"R5",6955,"R5",6650,"R5",6976,"R5",3810,"R5",3102,"R5",7502,"R5",5247,"R5",4679,"R5",5028,"R5",4866,"R5",2875,"R5",5892,"R5",3382,"R5",3338,"R5",2948,"R5",2837
"V6","R6",6384,"R6",4047,"R6",7132,"R6",4888,"R6",7455,"R6",14995,"R6",7543,"R6",8209,"R6",4817,"R6",3727,"R6",7251,"R6",5736,"R6",5336,"R6",5506,"R6",5257,"R6",3620,"R6",6775,"R6",4367,"R6",4465,"R6",3478,"R6",4050
"V7","R7",4892,"R7",6084,"R7",6001,"R7",4371,"R7",4678,"R7",4967,"R7",14812,"R7",6689,"R7",3395,"R7",3063,"R7",5535,"R7",5432,"R7",4511,"R7",4335,"R7",4078,"R7",3520,"R7",4532,"R7",3038,"R7",3211,"R7",3086,"R7",2668
"V8","R8",6015,"R8",4194,"R8",7007,"R8",4201,"R8",6363,"R8",8203,"R8",8103,"R8",16125,"R8",8064,"R8",5395,"R8",7810,"R8",7379,"R8",6466,"R8",6739,"R8",7290,"R8",5892,"R8",8521,"R8",5149,"R8",4978,"R8",4238,"R8",4731
"V9","R9",8431,"R9",6953,"R9",10242,"R9",6833,"R9",9157,"R9",9561,"R9",10266,"R9",15167,"R9",17467,"R9",9594,"R9",11585,"R9",10743,"R9",10107,"R9",9795,"R9",11329,"R9",10807,"R9",12770,"R9",7856,"R9",7748,"R9",7429,"R9",8077
"V10","R10",11197,"R10",12476,"R10",13505,"R10",10391,"R10",11851,"R10",11977,"R10",13967,"R10",16495,"R10",14233,"R10",19236,"R10",15356,"R10",13606,"R10",13245,"R10",12322,"R10",14191,"R10",12442,"R10",13881,"R10",10701,"R10",10582,"R10",10504,"R10",10367
"V11","R11",4430,"R11",2424,"R11",6157,"R11",3472,"R11",5922,"R11",5779,"R11",6588,"R11",8048,"R11",4633,"R11",3658,"R11",12784,"R11",6284,"R11",5693,"R11",5410,"R11",5302,"R11",3683,"R11",6240,"R11",3735,"R11",3711,"R11",3152,"R11",2937
"V12","R12",6509,"R12",5507,"R12",8743,"R12",5191,"R12",7705,"R12",8553,"R12",8884,"R12",12289,"R12",9034,"R12",7648,"R12",9964,"R12",16421,"R12",11573,"R12",11474,"R12",12214,"R12",12584,"R12",12619,"R12",7275,"R12",7350,"R12",7130,"R12",6097
"V13","R13",4893,"R13",3920,"R13",6999,"R13",3689,"R13",6099,"R13",6850,"R13",6867,"R13",10024,"R13",6956,"R13",6115,"R13",8536,"R13",9748,"R13",14572,"R13",10559,"R13",9631,"R13",8895,"R13",10231,"R13",5808,"R13",5954,"R13",5183,"R13",4529
"V14","R14",5143,"R14",3452,"R14",7361,"R14",3697,"R14",6278,"R14",6764,"R14",7114,"R14",10879,"R14",7019,"R14",6064,"R14",8659,"R14",9839,"R14",10994,"R14",14060,"R14",10312,"R14",9640,"R14",10880,"R14",5965,"R14",5703,"R14",5342,"R14",4527
"V15","R15",6685,"R15",6241,"R15",9373,"R15",5316,"R15",7817,"R15",8127,"R15",9436,"R15",12783,"R15",9503,"R15",7975,"R15",10486,"R15",12686,"R15",12314,"R15",12307,"R15",17121,"R15",12201,"R15",14075,"R15",6997,"R15",6952,"R15",6699,"R15",6036
"V16","R16",5909,"R16",4460,"R16",8204,"R16",4573,"R16",7115,"R16",7681,"R16",8473,"R16",11564,"R16",7810,"R16",6495,"R16",9676,"R16",11957,"R16",10751,"R16",10730,"R16",11183,"R16",14324,"R16",12497,"R16",6424,"R16",6309,"R16",5800,"R16",5187
"V17","R17",6603,"R17",6503,"R17",9558,"R17",5842,"R17",7851,"R17",8527,"R17",9388,"R17",12712,"R17",9885,"R17",8225,"R17",10920,"R17",12484,"R17",12010,"R17",11875,"R17",13774,"R17",12587,"R17",18119,"R17",7471,"R17",7462,"R17",7166,"R17",6937
"V18","R18",11635,"R18",11945,"R18",14810,"R18",12270,"R18",13308,"R18",12530,"R18",14845,"R18",14115,"R18",12239,"R18",12066,"R18",14771,"R18",13873,"R18",13016,"R18",13163,"R18",14320,"R18",13532,"R18",14259,"R18",19273,"R18",15028,"R18",13490,"R18",13638
"V19","R19",13483,"R19",14309,"R19",15654,"R19",14270,"R19",14795,"R19",14198,"R19",15886,"R19",15493,"R19",13950,"R19",14279,"R19",15333,"R19",15003,"R19",14507,"R19",14019,"R19",15175,"R19",15142,"R19",15322,"R19",17276,"R19",19356,"R19",16425,"R19",15597
"V20","R20",14297,"R20",15755,"R20",15839,"R20",15435,"R20",14597,"R20",14672,"R20",16407,"R20",15902,"R20",14872,"R20",14803,"R20",15954,"R20",15238,"R20",14756,"R20",14264,"R20",15371,"R20",15263,"R20",15380,"R20",15698,"R20",16541,"R20",19666,"R20",16475
"V21","R21",11564,"R21",11425,"R21",12362,"R21",11305,"R21",12105,"R21",12577,"R21",13532,"R21",13058,"R21",11702,"R21",11251,"R21",13295,"R21",13061,"R21",12324,"R21",11670,"R21",12768,"R21",12622,"R21",13459,"R21",13010,"R21",12763,"R21",13586,"R21",19225
