"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21"
"R1",0,1.47151085912837,0,0.608910717687288,0.373838340238765,1.01275832954422,0.169768299542352,0,0,0,0.767153379256967,0,0,0,0,0.404299208556028,0,0,0,0,0
"R2",1.47151085912837,0,0.312353988729205,0.520419922441575,0.375134014050103,0,1.68583740075561,0,0,0.699758748761779,0,0,0,0,0.406766298217617,0,0,0,0,0.480178081628172,0
"R3",0,0.312353988729205,0,1.38024804993051,0.710854599761616,0,0.158015561670515,0,0,0,0.515212916012527,0,0,0,0,0,0.272010863016665,0.522702916004173,0,0,0
"R4",0.608910717687288,0.520419922441575,1.38024804993051,0,0,0.603252930855789,0.861879276341811,0,0,0,0,0,0,0,0,0,0,0,0,0.418185555942602,0
"R5",0.373838340238765,0.375134014050103,0.710854599761616,0,0,1.40449230321425,0,0,0,0,1.1356019174268,0,0.29983413828998,0,0,0.478711233067289,0,0,0,0,0
"R6",1.01275832954422,0,0,0.603252930855789,1.40449230321425,0,0,0.988287471652444,0,0,0,0,0,0,0,0,0,0,0,0,0
"R7",0.169768299542352,1.68583740075561,0.158015561670515,0.861879276341811,0,0,0,0.458114473624653,0,0,0,0,0,0,0,0,0,0.3124368226667,0,0,0
"R8",0,0,0,0,0,0.988287471652444,0.458114473624653,0,1.52533237514744,1.00332571287851,0.343298734344224,0,0,0.707052806968325,0,0,0,0.220674113588246,0,0,0.125051236977432
"R9",0,0,0,0,0,0,0,1.52533237514744,0,0.574336854335812,0.767368841608976,0.505342853177341,0,0,0,0,0.758613689958509,0,0,0,0
"R10",0,0.699758748761779,0,0,0,0,0,1.00332571287851,0.574336854335812,0,1.76989427472834,0,0,0,0.623721837457364,0,0,0,0,0.291549743980873,0
"R11",0.767153379256967,0,0.515212916012527,0,1.1356019174268,0,0,0.343298734344224,0.767368841608976,1.76989427472834,0,0,0.474875334388446,0,0,0.272163502087104,0,0.191604146991722,0,0,0.28090796787887
"R12",0,0,0,0,0,0,0,0,0.505342853177341,0,0,0,0.941567421379313,0.0948979284275171,0.611032230260312,2.00487498212813,0.0794793697008708,0,0,0,0
"R13",0,0,0,0,0.29983413828998,0,0,0,0,0,0.474875334388446,0.941567421379313,0,1.71175255803744,0.462236183934189,0,0.637800175356142,0,0,0,0
"R14",0,0,0,0,0,0,0,0.707052806968325,0,0,0,0.0948979284275171,1.71175255803744,0,1.45242059581202,1.01209397645449,0.324075377101191,0,0,0,0
"R15",0,0.406766298217617,0,0,0,0,0,0,0,0.623721837457364,0,0.611032230260312,0.462236183934189,1.45242059581202,0,0.806525211494628,1.19483064048596,0,0,0,0
"R16",0.404299208556028,0,0,0,0.478711233067289,0,0,0,0,0,0.272163502087104,2.00487498212813,0,1.01209397645449,0.806525211494628,0,1.41759977937862,0,0,0.248909221936152,0
"R17",0,0,0.272010863016665,0,0,0,0,0,0.758613689958509,0,0,0.0794793697008708,0.637800175356142,0.324075377101191,1.19483064048596,1.41759977937862,0,0.362142624403986,0,0,0.32595577801655
"R18",0,0,0.522702916004173,0,0,0,0.3124368226667,0.220674113588246,0,0,0.191604146991722,0,0,0,0,0,0.362142624403986,0,1.53696892023582,0,0.411965350226249
"R19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53696892023582,0,1.17212226736596,0.421170247604287
"R20",0,0.480178081628172,0,0.418185555942602,0,0,0,0,0,0.291549743980873,0,0,0,0,0,0.248909221936152,0,0,1.17212226736596,0,0.793597970429773
"R21",0,0,0,0,0,0,0,0.125051236977432,0,0,0.28090796787887,0,0,0,0,0,0.32595577801655,0.411965350226249,0.421170247604287,0.793597970429773,0
