"","thresholds_resst_sui_sim"
"R1",-3.64605485100596
"R2",-2.70608592893678
"R3",-2.55205971978854
"R4",-2.12001873487865
"R5",-2.84136190862936
"R6",-2.01537987365652
"R7",-2.71189690503096
"R8",-3.45213904210218
"R9",-1.6072749359009
"R10",-0.825364058734086
"R11",-4.50863750702417
"R12",-2.00649238504022
"R13",-2.74693904345248
"R14",-3.27490139827074
"R15",-2.33361105561481
"R16",-3.6362717769422
"R17",-2.31034800265919
"R18",-1.31047798873107
"R19",-1.19964494286042
"R20",-0.841621226955808
"R21",-1.11391636930761
