"","Timepoints","Equilibrium","Perturbations"
"1",1,12,11
"2",2,12,10
"3",3,12,10
"4",4,12,10
"5",5,11,9
"6",6,12,8
"7",7,12,7
"8",8,11,6
"9",9,10,7
"10",10,9,6
"11",11,9,6
"12",12,9,7
"13",13,9,8
"14",14,9,9
"15",15,9,9
"16",16,9,9
"17",17,9,8
"18",18,9,8
"19",19,9,7
"20",20,9,8
"21",21,9,7
"22",22,9,7
"23",23,9,7
"24",24,9,6
"25",25,9,5
"26",26,9,6
"27",27,10,6
"28",28,9,6
"29",29,10,5
"30",30,11,5
"31",31,11,4
"32",32,11,5
"33",33,11,5
"34",34,11,4
"35",35,10,4
"36",36,10,5
"37",37,10,5
"38",38,11,6
"39",39,12,6
"40",40,13,6
"41",41,13,6
"42",42,13,6
"43",43,13,5
"44",44,13,5
"45",45,13,5
"46",46,13,5
"47",47,13,5
"48",48,13,5
"49",49,12,5
"50",50,11,5
"51",51,11,6
"52",52,10,6
"53",53,9,6
"54",54,9,5
"55",55,9,6
"56",56,9,6
"57",57,9,6
"58",58,8,6
"59",59,8,6
"60",60,8,6
"61",61,8,5
"62",62,8,5
"63",63,8,4
"64",64,7,3
"65",65,7,3
"66",66,8,4
"67",67,8,4
"68",68,8,5
"69",69,7,4
"70",70,7,5
"71",71,8,5
"72",72,8,5
"73",73,8,5
"74",74,8,4
"75",75,8,3
"76",76,8,3
"77",77,8,2
"78",78,7,2
"79",79,8,2
"80",80,8,1
"81",81,9,1
"82",82,9,1
"83",83,9,1
"84",84,10,1
"85",85,9,2
"86",86,10,3
"87",87,10,3
"88",88,11,3
"89",89,10,3
"90",90,10,3
"91",91,11,3
"92",92,11,4
"93",93,11,5
"94",94,11,5
"95",95,11,5
"96",96,11,6
"97",97,11,6
"98",98,11,6
"99",99,11,6
"100",100,11,6
"101",101,11,6
"102",102,11,6
"103",103,11,6
"104",104,11,7
"105",105,11,7
"106",106,10,7
"107",107,9,7
"108",108,9,7
"109",109,9,7
"110",110,9,7
"111",111,10,7
"112",112,10,7
"113",113,9,8
"114",114,8,9
"115",115,8,9
"116",116,8,9
"117",117,8,9
"118",118,9,9
"119",119,9,9
"120",120,9,9
"121",121,8,9
"122",122,8,9
"123",123,8,8
"124",124,8,8
"125",125,8,8
"126",126,8,7
"127",127,8,7
"128",128,7,8
"129",129,7,8
"130",130,7,8
"131",131,7,8
"132",132,7,8
"133",133,6,8
"134",134,6,8
"135",135,6,8
"136",136,5,8
"137",137,4,8
"138",138,4,8
"139",139,4,8
"140",140,4,8
"141",141,4,8
"142",142,4,8
"143",143,4,8
"144",144,4,8
"145",145,3,7
"146",146,3,6
"147",147,3,5
"148",148,3,5
"149",149,3,5
"150",150,3,5
"151",151,3,4
"152",152,3,4
"153",153,3,4
"154",154,3,5
"155",155,3,5
"156",156,4,5
"157",157,4,5
"158",158,4,5
"159",159,4,5
"160",160,4,5
"161",161,4,5
"162",162,4,5
"163",163,4,5
"164",164,4,5
"165",165,5,5
"166",166,5,5
"167",167,5,5
"168",168,5,5
"169",169,4,5
"170",170,4,5
"171",171,4,6
"172",172,3,6
"173",173,3,6
"174",174,3,6
"175",175,3,6
"176",176,3,5
"177",177,3,6
"178",178,3,6
"179",179,4,6
"180",180,4,6
"181",181,5,6
"182",182,5,6
"183",183,5,6
"184",184,5,6
"185",185,5,6
"186",186,6,5
"187",187,6,5
"188",188,6,5
"189",189,6,5
"190",190,6,5
"191",191,6,4
"192",192,6,4
"193",193,5,3
"194",194,5,3
"195",195,5,3
"196",196,5,3
"197",197,5,3
"198",198,5,3
"199",199,5,3
"200",200,5,3
"201",201,6,2
"202",202,6,2
"203",203,6,2
"204",204,6,2
"205",205,6,2
"206",206,7,2
"207",207,7,2
"208",208,7,3
"209",209,7,4
"210",210,7,3
"211",211,6,3
"212",212,6,3
"213",213,6,3
"214",214,6,3
"215",215,6,3
"216",216,6,3
"217",217,6,3
"218",218,6,3
"219",219,6,3
"220",220,6,3
"221",221,6,3
"222",222,6,3
"223",223,6,3
"224",224,6,2
"225",225,6,2
"226",226,6,2
"227",227,6,2
"228",228,6,2
"229",229,6,2
"230",230,6,2
"231",231,6,2
