"","Timepoints","Equilibrium"
"1",1,12
"2",2,12
"3",3,12
"4",4,12
"5",5,11
"6",6,12
"7",7,12
"8",8,11
"9",9,10
"10",10,9
"11",11,9
"12",12,9
"13",13,9
"14",14,9
"15",15,9
"16",16,9
"17",17,9
"18",18,9
"19",19,9
"20",20,9
"21",21,9
"22",22,9
"23",23,9
"24",24,9
"25",25,9
"26",26,9
"27",27,10
"28",28,9
"29",29,10
"30",30,11
"31",31,11
"32",32,11
"33",33,11
"34",34,11
"35",35,10
"36",36,10
"37",37,10
"38",38,11
"39",39,12
"40",40,13
"41",41,13
"42",42,13
"43",43,13
"44",44,13
"45",45,13
"46",46,13
"47",47,13
"48",48,13
"49",49,12
"50",50,11
"51",51,11
"52",52,10
"53",53,9
"54",54,9
"55",55,9
"56",56,9
"57",57,9
"58",58,8
"59",59,8
"60",60,8
"61",61,8
"62",62,8
"63",63,8
"64",64,7
"65",65,7
"66",66,8
"67",67,8
"68",68,8
"69",69,7
"70",70,7
"71",71,8
"72",72,8
"73",73,8
"74",74,8
"75",75,8
"76",76,8
"77",77,8
"78",78,7
"79",79,8
"80",80,8
"81",81,9
"82",82,9
"83",83,9
"84",84,10
"85",85,9
"86",86,10
"87",87,10
"88",88,11
"89",89,10
"90",90,10
"91",91,11
"92",92,11
"93",93,11
"94",94,11
"95",95,11
"96",96,11
"97",97,11
"98",98,11
"99",99,11
"100",100,11
"101",101,11
"102",102,11
"103",103,11
"104",104,11
"105",105,11
"106",106,10
"107",107,9
"108",108,9
"109",109,9
"110",110,9
"111",111,10
"112",112,10
"113",113,10
"114",114,9
"115",115,9
"116",116,9
"117",117,9
"118",118,10
"119",119,10
"120",120,10
"121",121,9
"122",122,9
"123",123,9
"124",124,9
"125",125,9
"126",126,9
"127",127,9
"128",128,9
"129",129,9
"130",130,9
"131",131,9
"132",132,9
"133",133,9
"134",134,9
"135",135,9
"136",136,8
"137",137,7
"138",138,6
"139",139,6
"140",140,6
"141",141,6
"142",142,6
"143",143,6
"144",144,7
"145",145,7
"146",146,7
"147",147,7
"148",148,7
"149",149,7
"150",150,7
"151",151,7
"152",152,7
"153",153,7
"154",154,7
"155",155,7
"156",156,8
"157",157,8
"158",158,8
"159",159,8
"160",160,8
"161",161,8
"162",162,8
"163",163,8
"164",164,8
"165",165,7
"166",166,7
"167",167,7
"168",168,7
"169",169,7
"170",170,7
"171",171,7
"172",172,7
"173",173,7
"174",174,7
"175",175,7
"176",176,6
"177",177,6
"178",178,6
"179",179,7
"180",180,7
"181",181,7
"182",182,7
"183",183,7
"184",184,7
"185",185,7
"186",186,8
"187",187,8
"188",188,7
"189",189,7
"190",190,7
"191",191,7
"192",192,7
"193",193,6
"194",194,6
"195",195,6
"196",196,6
"197",197,6
"198",198,6
"199",199,6
"200",200,6
"201",201,7
"202",202,7
"203",203,7
"204",204,7
"205",205,7
"206",206,8
"207",207,8
"208",208,8
"209",209,8
"210",210,8
"211",211,7
"212",212,7
"213",213,7
"214",214,7
"215",215,7
"216",216,7
"217",217,7
"218",218,7
"219",219,7
"220",220,7
"221",221,7
"222",222,7
"223",223,7
"224",224,7
"225",225,7
"226",226,7
"227",227,7
"228",228,7
"229",229,7
"230",230,7
"231",231,7
"232",232,7
"233",233,6
"234",234,6
"235",235,6
"236",236,6
"237",237,6
"238",238,5
"239",239,5
"240",240,5
"241",241,5
"242",242,6
"243",243,6
"244",244,6
"245",245,7
"246",246,7
"247",247,7
"248",248,7
"249",249,7
"250",250,8
"251",251,8
"252",252,7
"253",253,7
"254",254,7
"255",255,7
"256",256,6
"257",257,5
"258",258,4
"259",259,4
"260",260,4
"261",261,4
"262",262,3
"263",263,2
"264",264,2
"265",265,2
"266",266,2
"267",267,2
"268",268,2
"269",269,3
"270",270,4
"271",271,5
"272",272,5
"273",273,5
"274",274,5
"275",275,6
"276",276,5
"277",277,5
"278",278,5
"279",279,6
"280",280,6
"281",281,6
"282",282,6
"283",283,6
"284",284,6
"285",285,6
"286",286,6
"287",287,6
"288",288,6
"289",289,6
"290",290,6
"291",291,6
"292",292,6
"293",293,6
"294",294,6
"295",295,6
"296",296,5
"297",297,5
"298",298,4
"299",299,4
"300",300,4
"301",301,5
"302",302,5
"303",303,5
"304",304,6
"305",305,6
"306",306,6
"307",307,6
"308",308,6
"309",309,6
"310",310,6
"311",311,5
"312",312,6
"313",313,5
"314",314,5
"315",315,6
"316",316,7
"317",317,7
"318",318,6
"319",319,5
"320",320,5
"321",321,5
"322",322,6
"323",323,5
"324",324,4
"325",325,4
"326",326,4
"327",327,4
"328",328,4
"329",329,4
"330",330,4
"331",331,4
"332",332,4
"333",333,4
"334",334,4
"335",335,4
"336",336,4
"337",337,4
"338",338,5
"339",339,4
"340",340,4
"341",341,3
"342",342,3
"343",343,3
"344",344,3
"345",345,3
"346",346,3
"347",347,4
"348",348,4
"349",349,4
"350",350,4
"351",351,4
"352",352,4
"353",353,4
"354",354,3
"355",355,2
"356",356,2
"357",357,2
"358",358,1
"359",359,1
"360",360,0
"361",361,0
"362",362,1
"363",363,1
"364",364,1
"365",365,1
"366",366,1
"367",367,1
"368",368,1
"369",369,1
"370",370,1
"371",371,1
"372",372,1
"373",373,1
"374",374,1
"375",375,1
"376",376,1
"377",377,2
"378",378,2
"379",379,2
"380",380,2
"381",381,2
